entity_id,wallet_count,unique_accounts,execution_shape_count,shape_entropy,slot_count,atomic_arb_count,pga_slot_count,avg_top_entity_share,toxic_pool_interactions,early_rate,total_txs,validator_mev_slot_ratio,validator_early_ratio,validator_unique_entities,avg_slots_seen,best_entity_rank,validator_total_txs,validator_mev_txs,validator_mev_tx_ratio,pca_1,pca_2,pca_3,risk_score,anomaly_score,risk_rank
Certusm1sa411sMpV9FPqU5dXAYhmmhygvxJ23S6hJ24,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,28,0,15,0.9333333333333332,0.0031034530831958,496.4,3.0,1,6156.75,6099.75,0.9902,-0.14260981633613076,0.4074643601209886,0.0648412223564088,-1,-0.2689670263018738,224.5
DWvDTSh3qfn88UoQTEKRV2JnLt5jtJAVoiCo3ivtMwXP,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,28,0,15,0.9333333333333332,0.0031034530831958,496.4,3.0,1,6156.75,6099.75,0.9902,-0.14260981633613076,0.4074643601209886,0.0648412223564088,-1,-0.2689670263018738,224.5
AiDoLWFKzNxSXKeZ4zym2TEPkg6F4kQ3YBA8WhANVPEq,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,28,0,15,0.9333333333333332,0.0031034530831958,496.4,3.0,1,6156.75,6099.75,0.9902,-0.14260981633613076,0.4074643601209886,0.0648412223564088,-1,-0.2689670263018738,224.5
ABC1U4cf9DZMwqy8ktEr4WJj8VHmVBQibbC57gEJthwY,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,28,0,15,0.9333333333333332,0.0031034530831958,496.4,3.0,1,6156.75,6099.75,0.9902,-0.14260981633613076,0.4074643601209886,0.0648412223564088,-1,-0.2689670263018738,224.5
H8fHToVcZPi5bupGZohGPX2SWs8NHzgFKQ31wi5n6oux,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,28,0,15,0.9333333333333332,0.0031034530831958,496.4,3.0,1,6156.75,6099.75,0.9902,-0.14260981633613076,0.4074643601209886,0.0648412223564088,-1,-0.2689670263018738,224.5
ana2y2YvQ3ZPMwm6qhnN3nJoUSiT3qx5Pvetkq9xcfY,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,28,0,15,0.9333333333333332,0.0031034530831958,496.4,3.0,1,6156.75,6099.75,0.9902,-0.14260981633613076,0.4074643601209886,0.0648412223564088,-1,-0.2689670263018738,224.5
5marvipGzf98hxnoJFXsZbGHSXcEQ3yRGJ4ps7D3V4ou,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,28,0,15,0.9333333333333332,0.0031034530831958,496.4,3.0,1,6156.75,6099.75,0.9902,-0.14260981633613076,0.4074643601209886,0.0648412223564088,-1,-0.2689670263018738,224.5
G3a3iYZKNLbivothF3twqcaTCEvoPb9uJ2bFc9DNKkBQ,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,28,0,15,0.9333333333333332,0.0031034530831958,496.4,3.0,1,6156.75,6099.75,0.9902,-0.14260981633613076,0.4074643601209886,0.0648412223564088,-1,-0.2689670263018738,224.5
Frog1Fks1AVN8ywFH3HTFeYojq6LQqoEPzgQFx2Kz5Ch,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,28,0,15,0.9333333333333332,0.0031034530831958,496.4,3.0,1,6156.75,6099.75,0.9902,-0.14260981633613076,0.4074643601209886,0.0648412223564088,-1,-0.2689670263018738,224.5
H9ENbtmy2tWFtAJNmpC8xQtbcr1NTp4FXLdphRaG8L2T,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,28,0,15,0.9333333333333332,0.0031034530831958,496.4,3.0,1,6156.75,6099.75,0.9902,-0.14260981633613076,0.4074643601209886,0.0648412223564088,-1,-0.2689670263018738,224.5
vahMVcSS3v6uwyFormV7FDAUbQSHwmy6vUedp1P7L42,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,28,0,15,0.9333333333333332,0.0031034530831958,496.4,3.0,1,6156.75,6099.75,0.9902,-0.14260981633613076,0.4074643601209886,0.0648412223564088,-1,-0.2689670263018738,224.5
privaEdSEmnMPGPoQACUkcDGkFBbTArVvsEGd7C5wUM,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,28,0,15,0.9333333333333332,0.0031034530831958,496.4,3.0,1,6156.75,6099.75,0.9902,-0.14260981633613076,0.4074643601209886,0.0648412223564088,-1,-0.2689670263018738,224.5
